code,subcode,unit,time_code,time_sub,yearmonth,cat_label,total,mokuteki,shihonkin,yakuin,torishimariyaku,kansayaku,date,log_kansayaku,log_torishimariyaku,log_yakuin,log_mokuteki,t,month,post_kam,post_sc,post_isqm,t_post_kam,t_post_sc,ratio_kansa_yakuin,log_ratio,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,event_t,resid_its,ev_mn12,ev_mn11,ev_mn10,ev_mn09,ev_mn08,ev_mn07,ev_mn06,ev_mn05,ev_mn04,ev_mn03,ev_mn02,ev_mp00,ev_mp01,ev_mp02,ev_mp03,ev_mp04,ev_mp05,ev_mp06,ev_mp07,ev_mp08,ev_mp09,ev_mp10,ev_mp11,ev_mp12
100,,件数【件】,2010000101,,2010年1月,,39663,3189,1845,27883,282,1315,2010-01-01,7.181591944611865,5.641907070938114,10.23577246310278,8.067462667010057,12,1,0,0,0,0,0,0.04716135279561023,-3.0541805184909148,0,0,0,0,0,0,0,0,0,0,0,-130,-0.07307835461136092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000202,,2010年2月,,37321,3396,1871,25695,249,1297,2010-02-01,7.167809184316444,5.517452896464707,10.15405169942633,8.130353547431238,13,2,0,0,0,0,0,0.050476746448725435,-2.986242515109886,1,0,0,0,0,0,0,0,0,0,0,-129,0.013968379349452942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000303,,2010年3月,,47254,4096,2421,33279,301,1467,2010-03-01,7.2909747781429814,5.707110264748875,10.41268184640677,8.317766166719343,14,3,0,0,0,0,0,0.04408185342107635,-3.1217070682637877,0,1,0,0,0,0,0,0,0,0,0,-128,0.06179799547634346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000404,,2010年4月,,59456,4431,2475,42810,397,1743,2010-04-01,7.463363045520021,5.983936280687191,10.664526999138992,8.39638057119949,15,4,0,0,0,0,0,0.04071478626489138,-3.2011639536189707,0,0,1,0,0,0,0,0,0,0,0,-127,-0.03161830786155573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000505,,2010年5月,,44877,3366,1869,33409,218,1395,2010-05-01,7.240649694255466,5.384495062789089,10.41658060374452,8.121480374750751,16,5,0,0,0,0,0,0.041755215660450776,-3.1759309094890544,0,0,0,1,0,0,0,0,0,0,0,-126,0.008740410955819122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000606,,2010年6月,,80093,4692,2276,64668,374,1908,2010-06-01,7.553810852008231,5.924255797414532,11.077021767721497,8.453614209773367,17,6,0,0,0,0,0,0.029504546298014474,-3.5232109157132654,0,0,0,0,1,0,0,0,0,0,0,-125,-0.0070438620609318825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000707,,2010年7月,,79634,5119,2133,62723,391,1939,2010-07-01,7.569927655242652,5.968707559985366,11.046483485513047,8.540714386457584,18,7,0,0,0,0,0,0.030913699918690113,-3.4765558302703945,0,0,0,0,0,1,0,0,0,0,0,-124,-0.0745057317998703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000808,,2010年8月,,47787,3463,1855,35267,261,1542,2010-08-01,7.340835554123275,5.564520407322694,10.4707029614894,8.149890544402423,19,8,0,0,0,0,0,0.04372359429494995,-3.129867407366125,0,0,0,0,0,0,1,0,0,0,0,-123,0.03429144864439415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010000909,,2010年9月,,47695,3596,1853,35060,254,1585,2010-09-01,7.368339686311381,5.537334267018537,10.464816158475225,8.18757739559151,20,9,0,0,0,0,0,0.04520821448944666,-3.0964764721638445,0,0,0,0,0,0,0,1,0,0,0,-122,0.06536176677899963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010001010,,2010年10月,,48656,3585,1932,35093,303,1621,2010-10-01,7.390798521735676,5.713732805509369,10.465756959365681,8.184513753033722,21,10,0,0,0,0,0,0.046191548172000114,-3.0749584376300043,0,0,0,0,0,0,0,0,1,0,0,-121,-0.0020502093726548765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010001111,,2010年11月,,44867,3325,1746,33222,272,1375,2010-11-01,7.226209010100671,5.605802066295998,10.410967586051022,8.109224953089955,22,11,0,0,0,0,0,0.04138823671061345,-3.1847585759503505,0,0,0,0,0,0,0,0,0,1,0,-120,-0.022076139491145064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2010001212,,2010年12月,,48499,3259,1933,36239,284,1475,2010-12-01,7.29641326877392,5.648974238161206,10.497891165957215,8.089175678837561,23,12,0,0,0,0,0,0.04070200612599685,-3.2014778971832945,0,0,0,0,0,0,0,0,0,0,1,-119,-0.017534265938024873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2011000101,,2011年1月,,37398,3076,1624,26646,256,1172,2011-01-01,7.066466970136958,5.545177444479562,10.190394324520158,8.031385330625534,24,1,0,0,0,0,0,0.04398408766794266,-3.1239273543831994,0,0,0,0,0,0,0,0,0,0,0,-118,-0.07991767790161353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2011000202,,2011年2月,,35819,3138,1696,25287,296,1136,2011-02-01,7.035268599281097,5.69035945432406,10.138045708665592,8.051340933292979,25,2,0,0,0,0,0,0.04492426938743228,-3.1027771093844954,1,0,0,0,0,0,0,0,0,0,0,-117,-0.039658702323124295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2011000303,,2011年3月,,46402,3703,2039,33730,273,1340,2011-03-01,7.200424892944957,5.60947179518496,10.426142928055697,8.216898580913613,26,3,0,0,0,0,0,0.039727245775274235,-3.225718035110739,0,1,0,0,0,0,0,0,0,0,0,-116,0.020694541231424335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2011000404,,2011年4月,,56070,3751,2018,41850,284,1543,2011-04-01,7.341483852363161,5.648974238161206,10.641847075917621,8.229777750081887,27,4,0,0,0,0,0,0.036869772998805256,-3.3003632235544607,0,0,1,0,0,0,0,0,0,0,0,-115,-0.06791006519501375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2011000505,,2011年5月,,47121,3135,1766,36158,248,1396,2011-05-01,7.241366283322318,5.5134287461649825,10.49565350324196,8.050384453067021,28,5,0,0,0,0,0,0.03860833010675369,-3.2542872199196418,0,0,0,1,0,0,0,0,0,0,0,-114,-0.006708386872736227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2011000606,,2011年6月,,82840,4510,1997,68461,322,1892,2011-06-01,7.545389749611823,5.7745515455444085,11.134019519047316,8.414052432496725,29,6,0,0,0,0,0,0.027636172419333634,-3.5886297694354923,0,0,0,0,1,0,0,0,0,0,0,-113,-0.009555203181126792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,件数【件】,2011000707,,2011年7月,,77206,4755,1856,62350,338,1714,2011-07-01,7.446585099157725,5.823045895483019,11.040518951108183,8.46695197497949,30,7,0,0,0,0,0,0.02748997594226143,-3.5939338519504576,0,0,0,0,0,1,0,0,0,0,0,-112,-0.12897624087790138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
