"統計名：","登記統計 商業・法人"
"表番号："
"表題：","会社及び登記の種類別　会社の登記の件数"
"実施年月：","2018年","1月"

"***","数字が得られないもの"
"…","数字が得られないもの"

"","","","","","","/会社の種類別(月次) コード","110","110","110","110","110","110"
"","","","","","","/会社の種類別(月次) 補助コード","-","-","-","-","-","-"
"","","","","","","/会社の種類別(月次)","株式会社","株式会社","株式会社","株式会社","株式会社","株式会社"
"","","","","","","/本店・支店所在地における登記の別 コード","100","100","100","100","100","100"
"","","","","","","/本店・支店所在地における登記の別 補助コード","-","-","-","-","-","-"
"","","","","","","/本店・支店所在地における登記の別","本店","本店","本店","本店","本店","本店"
"","","","","","","/会社の登記の種類別(月次) コード","200","210","230","290","320","330"
"","","","","","","/会社の登記の種類別(月次) 補助コード","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","時間軸(月次) コード","時間軸(月次) 補助コード","時間軸(月次)","/会社の登記の種類別(月次)","登記事項の変更","登記事項の変更_目的の変更","登記事項の変更_資本金の額の増加","登記事項の変更_役員等に関する変更","登記事項の変更_取締役会，監査役会又は委員会設置会社に関する変更","登記事項の変更_監査役，会計参与又は会計監査人設置会社に関する変更"
"100","","件数【件】","2022000101","","2022年1月","","43,545","3,746","2,028","30,834","1,240","174"
"100","","件数【件】","2021001212","","2021年12月","","51,889","4,159","2,165","38,152","1,600","200"
"100","","件数【件】","2021001111","","2021年11月","","50,293","4,214","2,086","36,682","1,565","208"
"100","","件数【件】","2021001010","","2021年10月","","55,873","4,761","2,399","40,285","1,756","264"
"100","","件数【件】","2021000909","","2021年9月","","50,919","4,312","2,153","37,114","1,554","217"
"100","","件数【件】","2021000808","","2021年8月","","55,717","4,549","2,414","40,884","1,674","221"
"100","","件数【件】","2021000707","","2021年7月","","75,294","5,045","2,053","59,893","1,803","319"
"100","","件数【件】","2021000606","","2021年6月","","77,239","5,520","2,394","61,196","1,873","243"
"100","","件数【件】","2021000505","","2021年5月","","49,034","4,200","2,151","36,216","1,376","167"
"100","","件数【件】","2021000404","","2021年4月","","65,388","5,155","2,455","48,156","1,742","321"
"100","","件数【件】","2021000303","","2021年3月","","56,993","5,516","2,802","40,621","1,632","213"
"100","","件数【件】","2021000202","","2021年2月","","39,989","3,984","2,044","27,919","1,235","162"
"100","","件数【件】","2021000101","","2021年1月","","43,807","3,951","1,993","30,955","1,361","194"
"100","","件数【件】","2020001212","","2020年12月","","52,618","4,339","2,163","38,648","1,681","212"
"100","","件数【件】","2020001111","","2020年11月","","47,729","4,041","2,005","34,893","1,515","175"
"100","","件数【件】","2020001010","","2020年10月","","57,633","5,054","2,442","41,605","1,805","228"
"100","","件数【件】","2020000909","","2020年9月","","51,698","4,589","2,218","37,663","1,652","190"
"100","","件数【件】","2020000808","","2020年8月","","52,044","4,232","2,288","38,348","1,644","196"
"100","","件数【件】","2020000707","","2020年7月","","81,207","5,656","2,254","64,335","1,997","279"
"100","","件数【件】","2020000606","","2020年6月","","81,936","5,488","2,441","65,693","1,976","217"
"100","","件数【件】","2020000505","","2020年5月","","51,324","4,234","2,040","38,407","1,470","197"
"100","","件数【件】","2020000404","","2020年4月","","53,796","3,978","1,821","40,080","1,406","226"
"100","","件数【件】","2020000303","","2020年3月","","50,756","4,491","2,332","36,550","1,481","203"
"100","","件数【件】","2020000202","","2020年2月","","39,316","3,592","1,937","27,583","1,252","169"
"100","","件数【件】","2020000101","","2020年1月","","43,239","3,482","2,095","30,650","1,328","222"
"100","","件数【件】","2019001212","","2019年12月","","52,720","3,884","2,217","39,066","1,662","237"
"100","","件数【件】","2019001111","","2019年11月","","50,064","3,827","2,088","36,946","1,681","206"
"100","","件数【件】","2019001010","","2019年10月","","55,421","4,261","2,367","40,593","1,718","262"
"100","","件数【件】","2019000909","","2019年9月","","47,336","3,570","2,030","35,036","1,489","181"
"100","","件数【件】","2019000808","","2019年8月","","51,553","3,935","2,304","37,950","1,571","256"
"100","","件数【件】","2019000707","","2019年7月","","85,737","5,308","2,491","68,417","2,080","319"
"100","","件数【件】","2019000606","","2019年6月","","70,446","4,310","2,140","56,598","1,729","233"
"100","","件数【件】","2019000505","","2019年5月","","53,394","3,966","2,213","39,887","1,566","239"
